Sexo;Edad;Periodo;Total
Mujeres;Todas las edades;2032;26.039.739,337877
Mujeres;Todas las edades;2031;25.903.554,449736
Mujeres;Todas las edades;2030;25.753.234,266313
Mujeres;Todas las edades;2029;25.588.079,29294
Mujeres;Todas las edades;2028;25.409.806,169181
Mujeres;Todas las edades;2027;25.220.448,713688
Mujeres;Todas las edades;2026;25.021.135,24031
Mujeres;Todas las edades;2025;24.814.772,352977
Mujeres;Todas las edades;2024;24.605.018,174615
Mujeres;Todas las edades;2023;24.394.160,727243
Mujeres;Todas las edades;2022;24.195.806,036859
Mujeres;0 años;2072;192.659,610864
Mujeres;0 años;2071;191.560,91191
Mujeres;0 años;2070;190.346,901235
Mujeres;0 años;2069;189.036,767952
Mujeres;0 años;2068;187.652,721942
Mujeres;0 años;2067;186.220,740625
Mujeres;0 años;2066;184.768,528721
Mujeres;0 años;2065;183.328,298537
Mujeres;0 años;2064;181.936,826236
Mujeres;0 años;2063;180.638,831211
Mujeres;0 años;2062;179.483,693639
Mujeres;0 años;2061;178.520,61156
Mujeres;0 años;2060;177.802,645033
Mujeres;0 años;2059;177.381,657267
Mujeres;0 años;2058;177.293,564488
Mujeres;0 años;2057;177.562,382324
Mujeres;0 años;2056;178.198,373924
Mujeres;0 años;2055;179.197,848796
Mujeres;0 años;2054;180.539,652123
Mujeres;0 años;2053;182.174,974034
Mujeres;0 años;2052;184.045,608509
Mujeres;0 años;2051;186.080,843907
Mujeres;0 años;2050;188.213,759495
Mujeres;0 años;2049;190.365,873017
Mujeres;0 años;2048;192.459,241845
Mujeres;0 años;2047;194.417,943974
Mujeres;0 años;2046;196.155,921601
Mujeres;0 años;2045;197.595,816114
Mujeres;0 años;2044;198.692,378434
Mujeres;0 años;2043;199.391,803753
Mujeres;0 años;2042;199.650,871916
Mujeres;0 años;2041;199.489,351567
Mujeres;0 años;2040;198.935,704581
Mujeres;0 años;2039;198.042,552709
Mujeres;0 años;2038;196.866,304175
Mujeres;0 años;2037;195.491,603504
Mujeres;0 años;2036;193.185,450019
Mujeres;0 años;2035;190.719,459968
Mujeres;0 años;2034;188.104,956624
Mujeres;0 años;2033;185.398,285219
Mujeres;0 años;2032;182.672,143892
Mujeres;0 años;2031;179.953,313485
Mujeres;0 años;2030;177.273,076983
Mujeres;0 años;2029;174.648,988192
Mujeres;0 años;2028;172.124,521039
Mujeres;0 años;2027;169.741,684379
Mujeres;0 años;2026;167.558,585439
Mujeres;0 años;2025;165.674,327889
Mujeres;0 años;2024;164.185,33861
Mujeres;0 años;2023;163.184,33317
Mujeres;0 años;2022;163.064
Mujeres;1 año;2072;194.016,733314
Mujeres;1 año;2071;192.798,089255
Mujeres;1 año;2070;191.483,607854
Mujeres;1 año;2069;190.095,434796
Mujeres;1 año;2068;188.659,461577
Mujeres;1 año;2067;187.203,334097
Mujeres;1 año;2066;185.759,160249
Mujeres;1 año;2065;184.363,608633
Mujeres;1 año;2064;183.061,259521
Mujeres;1 año;2063;181.901,328623
Mujeres;1 año;2062;180.932,856356
Mujeres;1 año;2061;180.208,72121
Mujeres;1 año;2060;179.780,641756
Mujeres;1 año;2059;179.684,424425
Mujeres;1 año;2058;179.944,034556
Mujeres;1 año;2057;180.569,733094
Mujeres;1 año;2056;181.557,871038
Mujeres;1 año;2055;182.887,396423
Mujeres;1 año;2054;184.509,672775
Mujeres;1 año;2053;186.366,713012
Mujeres;1 año;2052;188.388,023324
Mujeres;1 año;2051;190.506,878766
Mujeres;1 año;2050;192.645,012907
Mujeres;1 año;2049;194.724,684446
Mujeres;1 año;2048;196.670,152865
Mujeres;1 año;2047;198.395,537922
Mujeres;1 año;2046;199.823,646604
Mujeres;1 año;2045;200.909,266602
Mujeres;1 año;2044;201.598,666913
Mujeres;1 año;2043;201.848,680706
Mujeres;1 año;2042;201.678,956085
Mujeres;1 año;2041;201.117,845482
Mujeres;1 año;2040;200.217,810584
Mujeres;1 año;2039;199.035,120648
Mujeres;1 año;2038;197.654,212857
Mujeres;1 año;2037;195.343,954763
Mujeres;1 año;2036;193.002,327531
Mujeres;1 año;2035;190.589,332015
Mujeres;1 año;2034;188.122,693186
Mujeres;1 año;2033;185.636,446847
Mujeres;1 año;2032;183.166,965947
Mujeres;1 año;2031;180.735,805941
